Service: hwrt, mapping: strict-0
Found 341 / 351 classes
Macro-scores: 291 classes with samples number >= 10
Recall scores:

| Class               |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| T                   |        40 |  87.5 % |  87.5 % |  92.5 % |  92.5 % |  92.5 % |
| \$                  |        40 |  95.0 % |  97.5 % |  97.5 % |  97.5 % |  97.5 % |
| \ddots              |        40 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \male               |        40 |  72.5 % |  87.5 % |  90.0 % |  92.5 % |  95.0 % |
| \mathcal{F}         |        40 |  85.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| \not\equiv          |        39 |  92.3 % |  92.3 % |  92.3 % |  94.9 % |  94.9 % |
| \nu                 |        39 |  79.5 % |  87.2 % |  89.7 % |  89.7 % |  89.7 % |
| \lceil              |        37 |  91.9 % |  94.6 % |  94.6 % |  94.6 % |  94.6 % |
| \mathcal{A}         |        37 |  62.2 % |  91.9 % |  94.6 % |  97.3 % |  97.3 % |
| \mathcal{P}         |        37 |  81.1 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \succ               |        37 |  86.5 % |  89.2 % |  89.2 % |  89.2 % |  89.2 % |
| \nmid               |        36 |  94.4 % |  94.4 % |  94.4 % |  94.4 % |  94.4 % |
| \wp                 |        36 |  80.6 % |  94.4 % |  94.4 % |  97.2 % |  97.2 % |
| \bullet             |        35 |  54.3 % |  82.9 % |  85.7 % |  85.7 % |  88.6 % |
| \div                |        34 |  91.2 % |  91.2 % |  94.1 % |  94.1 % |  97.1 % |
| \celsius            |        33 |  93.9 % |  97.0 % |  97.0 % |  97.0 % |  97.0 % |
| \mathcal{N}         |        33 |  87.9 % |  90.9 % |  97.0 % |  97.0 % |  97.0 % |
| \}                  |        33 |  93.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nexists            |        32 |  93.8 % |  96.9 % |  96.9 % |  96.9 % |  96.9 % |
| \o                  |        32 |  28.1 % |  59.4 % |  84.4 % |  87.5 % |  96.9 % |
| \astrosun           |        31 |  35.5 % |  83.9 % |  90.3 % |  93.5 % |  93.5 % |
| \geqslant           |        31 |  80.6 % |  90.3 % |  96.8 % |  96.8 % |  96.8 % |
| \fint               |        30 |  86.7 % |  93.3 % |  96.7 % |  96.7 % |  96.7 % |
| \ae                 |        29 |  82.8 % |  89.7 % |  96.6 % | 100.0 % | 100.0 % |
| \mathbb{Q}          |        29 |  86.2 % |  89.7 % |  96.6 % |  96.6 % |  96.6 % |
| \mathcal{E}         |        29 |  34.5 % |  96.6 % | 100.0 % | 100.0 % | 100.0 % |
| \sqsubseteq         |        29 |  79.3 % |  89.7 % |  89.7 % |  89.7 % |  89.7 % |
| \vartheta           |        29 |  93.1 % |  93.1 % |  96.6 % |  96.6 % |  96.6 % |
| \Longrightarrow     |        28 |  21.4 % |  92.9 % |  92.9 % |  92.9 % |  92.9 % |
| \clubsuit           |        28 |  78.6 % |  89.3 % |  89.3 % |  89.3 % |  89.3 % |
| \preceq             |        28 |  85.7 % |  92.9 % |  92.9 % |  96.4 % |  96.4 % |
