Service: hwrt, mapping: none
Number of symbols: 368
Recall scores:

| Class               |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \upharpoonright     |        14 |  85.7 % |  92.9 % |  92.9 % | 100.0 % | 100.0 % |
| \Im                 |        14 |  57.1 % |  71.4 % |  71.4 % |  71.4 % |  71.4 % |
| \mathscr{D}         |        14 |  64.3 % |  92.9 % |  92.9 % |  92.9 % | 100.0 % |
| \mathscr{F}         |        14 |  35.7 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \venus              |        14 |  42.9 % |  92.9 % |  92.9 % |  92.9 % |  92.9 % |
| 0                   |        13 |  38.5 % |  53.8 % |  76.9 % |  76.9 % |  76.9 % |
| \circledR           |        13 |  76.9 % |  76.9 % |  76.9 % |  76.9 % |  76.9 % |
| \mathsection        |        13 |  15.4 % |  76.9 % |  76.9 % |  84.6 % |  84.6 % |
| \rightleftarrows    |        13 |  92.3 % |  92.3 % |  92.3 % | 100.0 % | 100.0 % |
| \mapsfrom           |        13 |  76.9 % |  92.3 % |  92.3 % |  92.3 % |  92.3 % |
| \flat               |        13 |  61.5 % |  76.9 % |  84.6 % |  92.3 % |  92.3 % |
| \mathcal{X}         |        13 |   7.7 % |  53.8 % |  61.5 % |  61.5 % |  61.5 % |
| G                   |        12 |  83.3 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| M                   |        12 |  91.7 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| 1                   |        12 |  83.3 % |  83.3 % |  91.7 % |  91.7 % |  91.7 % |
| 2                   |        12 |  91.7 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| 3                   |        12 |  91.7 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| 8                   |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| <                   |        12 |  66.7 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| -                   |        12 |  16.7 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \mp                 |        12 |  83.3 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \circledcirc        |        12 |  66.7 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
