Service: detexify, mapping: similar-0
Found 820 / 926 classes
Macro score: 376 classes with samples number >= 10
Recall scores:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \frownie                  |        25 |  16.0 % |  44.0 % |  52.0 % |  56.0 % |  56.0 % |
| \rrbracket                |        25 |  80.0 % |  96.0 % |  96.0 % |  96.0 % |  96.0 % |
| \texttwosuperior          |        25 |  80.0 % |  88.0 % |  88.0 % | 100.0 % | 100.0 % |
| \clubsuit                 |        24 |  25.0 % |  54.2 % |  75.0 % |  75.0 % |  75.0 % |
| \mathcal{N}               |        24 |  54.2 % |  91.7 % |  95.8 % | 100.0 % | 100.0 % |
| D                         |        23 |  56.5 % |  69.6 % |  73.9 % |  87.0 % |  87.0 % |
| \Theta                    |        23 |  39.1 % |  47.8 % |  65.2 % |  69.6 % |  78.3 % |
| \celsius                  |        23 |  34.8 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \iint                     |        23 |  95.7 % |  95.7 % |  95.7 % |  95.7 % |  95.7 % |
| \mathfrak{S}              |        23 |  65.2 % |  78.3 % |  82.6 % |  87.0 % |  87.0 % |
| \succeq                   |        23 |  87.0 % |  95.7 % |  95.7 % |  95.7 % |  95.7 % |
| \textsca                  |        23 |  52.2 % |  65.2 % |  78.3 % |  95.7 % |  95.7 % |
| \backsim                  |        22 |  81.8 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightleftharpoons        |        22 |  77.3 % |  95.5 % |  95.5 % |  95.5 % |  95.5 % |
| \rtimes                   |        22 |  81.8 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Leftarrow                |        21 |  71.4 % |  90.5 % |  95.2 % |  95.2 % |  95.2 % |
| \iddots                   |        21 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   4.8 % |
| \mathbb{Q}                |        21 |  71.4 % |  85.7 % |  85.7 % |  85.7 % |  90.5 % |
| \mathscr{A}               |        21 |  71.4 % |  81.0 % |  81.0 % |  85.7 % |  85.7 % |
| \nsubseteq                |        21 |  42.9 % |  61.9 % |  95.2 % |  95.2 % | 100.0 % |
| \textquestiondown         |        21 |  57.1 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \kappa                    |        20 |  30.0 % |  60.0 % |  95.0 % |  95.0 % | 100.0 % |
| \mathfrak{A}              |        20 |  40.0 % |  55.0 % |  70.0 % |  70.0 % |  75.0 % |
| \mathfrak{r}              |        20 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathscr{S}               |        20 |  65.0 % |  80.0 % |  85.0 % |  85.0 % |  90.0 % |
| \trianglelefteq           |        20 |  35.0 % |  75.0 % |  85.0 % |  85.0 % |  85.0 % |
| \vdots                    |        20 |   0.0 % |   0.0 % |   0.0 % |   5.0 % |   5.0 % |
| \Cross                    |        19 |   0.0 % |  10.5 % |  36.8 % |  57.9 % |  78.9 % |
| \curlyeqsucc              |        19 |   0.0 % |  15.8 % |  31.6 % |  31.6 % |  42.1 % |
| \downarrow                |        19 |  57.9 % |  84.2 % |  89.5 % |  89.5 % |  89.5 % |
| \mathscr{C}               |        19 |  89.5 % |  89.5 % |  89.5 % |  94.7 % |  94.7 % |
| \ocircle                  |        19 |  36.8 % |  68.4 % |  84.2 % |  84.2 % |  94.7 % |
| \textbarb                 |        19 |  15.8 % |  26.3 % |  26.3 % |  26.3 % |  31.6 % |
| \textestimated            |        19 |  68.4 % |  73.7 % |  78.9 % |  89.5 % | 100.0 % |
| \Uppsi                    |        18 |  27.8 % |  44.4 % |  55.6 % |  72.2 % |  77.8 % |
| \gvertneqq                |        18 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathcal{R}               |        18 |  38.9 % |  66.7 % |  83.3 % |  88.9 % |  94.4 % |
| \mathfrak{n}              |        18 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{v}              |        18 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \uparrow                  |        18 |  33.3 % |  72.2 % |  83.3 % |  88.9 % |  88.9 % |
| \upbeta                   |        18 |  27.8 % |  61.1 % |  94.4 % |  94.4 % |  94.4 % |
| \uplambda                 |        18 |   5.6 % |  33.3 % |  50.0 % |  61.1 % |  83.3 % |
| \because                  |        17 |  11.8 % |  11.8 % |  70.6 % |  70.6 % |  70.6 % |
| \ltimes                   |        17 |  76.5 % |  76.5 % |  82.4 % |  88.2 % |  94.1 % |
| \mathbb{E}                |        17 |  58.8 % |  76.5 % |  76.5 % |  82.4 % |  88.2 % |
| \mathcal{H}               |        17 |  52.9 % |  76.5 % |  88.2 % |  88.2 % |  88.2 % |
| \mathcal{Z}               |        17 |  76.5 % |  82.4 % |  88.2 % |  94.1 % |  94.1 % |
| \ngeqq                    |        17 |   5.9 % |  23.5 % |  35.3 % |  88.2 % | 100.0 % |
| \nrightarrow              |        17 |  82.4 % |  82.4 % |  94.1 % |  94.1 % |  94.1 % |
| \rangle                   |        17 |  23.5 % |  82.4 % |  82.4 % |  82.4 % |  88.2 % |
| \rightharpoonup           |        17 |  82.4 % |  82.4 % |  82.4 % |  82.4 % |  82.4 % |
| \skull                    |        17 |  11.8 % |  11.8 % |  17.6 % |  17.6 % |  17.6 % |
| \spadesuit                |        17 |  70.6 % |  82.4 % |  88.2 % |  88.2 % |  88.2 % |
| a                         |        17 |  70.6 % |  94.1 % |  94.1 % | 100.0 % | 100.0 % |
| S                         |        16 |  50.0 % |  68.8 % |  68.8 % |  81.2 % |  93.8 % |
| \RIGHTarrow               |        16 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \boxtimes                 |        16 |  62.5 % |  62.5 % |  75.0 % |  81.2 % |  81.2 % |
| \leftarrow                |        16 |  81.2 % |  93.8 % |  93.8 % |  93.8 % |  93.8 % |
| \mapsfrom                 |        16 |  87.5 % |  93.8 % |  93.8 % |  93.8 % | 100.0 % |
| \mathcal{B}               |        16 |  43.8 % |  50.0 % |  56.2 % |  68.8 % |  75.0 % |
| \mathfrak{f}              |        16 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{l}              |        16 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{t}              |        16 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \nearrow                  |        16 |  31.2 % |  81.2 % |  93.8 % |  93.8 % |  93.8 % |
| \nsucceq                  |        16 |  93.8 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \searrow                  |        16 |  62.5 % |  75.0 % |  81.2 % |  81.2 % |  87.5 % |
| \textonehalf              |        16 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upchi                    |        16 |  62.5 % |  68.8 % |  75.0 % |  87.5 % | 100.0 % |
| ]                         |        16 |  81.2 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Letter                   |        15 |  66.7 % |  73.3 % |  86.7 % |  86.7 % |  86.7 % |
| \Mapsfrom                 |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \Pickup                   |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \angle                    |        15 |  93.3 % |  93.3 % |  93.3 % | 100.0 % | 100.0 % |
| \blacksmiley              |        15 |   0.0 % |   6.7 % |  13.3 % |  20.0 % |  33.3 % |
| \circlearrowright         |        15 |  60.0 % |  73.3 % |  80.0 % |  86.7 % |  86.7 % |
| \circledast               |        15 |  20.0 % |  20.0 % |  26.7 % |  33.3 % |  40.0 % |
| \circleddash              |        15 |  40.0 % |  60.0 % |  66.7 % |  66.7 % |  93.3 % |
| \iiint                    |        15 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lnapprox                 |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \lvertneqq                |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{X}              |        15 |  66.7 % |  80.0 % |  80.0 % |  86.7 % |  86.7 % |
| \mathfrak{j}              |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{q}              |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{u}              |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{z}              |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \nnwarrow                 |        15 |  20.0 % |  20.0 % |  26.7 % |  40.0 % |  46.7 % |
| \rrfloor                  |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textctd                  |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \texthtt                  |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textinterrobang          |        15 |  53.3 % |  66.7 % |  73.3 % |  80.0 % |  86.7 % |
| \textphi                  |        15 |  40.0 % |  46.7 % |  60.0 % |  80.0 % |  80.0 % |
| \textquotedbl             |        15 |  20.0 % |  53.3 % |  60.0 % |  66.7 % |  73.3 % |
| \varpi                    |        15 |  80.0 % |  80.0 % |  86.7 % |  86.7 % |  86.7 % |
| \AE                       |        14 |  64.3 % |  64.3 % |  71.4 % |  78.6 % |  85.7 % |
| \Ankh                     |        14 |  50.0 % |  57.1 % |  57.1 % |  57.1 % |  57.1 % |
| \Lightning                |        14 |  35.7 % |  64.3 % |  71.4 % |  71.4 % |  71.4 % |
| \mathbb{P}                |        14 |  71.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{m}              |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{o}              |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathscr{D}               |        14 |  57.1 % |  78.6 % |  85.7 % |  85.7 % |  85.7 % |
| \mp                       |        14 |  78.6 % |  78.6 % | 100.0 % | 100.0 % | 100.0 % |
| \nsupseteqq               |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \precnsim                 |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textbard                 |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textctt                  |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textquotedblleft         |        14 |  64.3 % |  78.6 % |  92.9 % |  92.9 % |  92.9 % |
| \textrthook               |        14 |   0.0 % |   7.1 % |  14.3 % |  28.6 % |  35.7 % |
