Service: detexify
Number of symbols: 900
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \mathds{1}                |        32 |  50.0 % |  68.8 % |  71.9 % |  71.9 % |  78.1 % |
| \mathcal{A}               |        32 |  50.0 % |  65.6 % |  81.2 % |  81.2 % |  90.6 % |
| \mathds{C}                |        32 |  62.5 % |  84.4 % |  84.4 % |  87.5 % |  90.6 % |
| \ss                       |        32 |  31.2 % |  56.2 % |  78.1 % |  93.8 % | 100.0 % |
| \frownie                  |        32 |  21.9 % |  46.9 % |  50.0 % |  56.2 % |  59.4 % |
| \vartheta                 |        32 |  71.9 % |  90.6 % |  93.8 % | 100.0 % | 100.0 % |
| \nmid                     |        31 |  29.0 % |  58.1 % |  93.5 % |  93.5 % |  93.5 % |
| \ohm                      |        31 |  29.0 % |  58.1 % |  74.2 % |  93.5 % | 100.0 % |
| \succ                     |        31 |  83.9 % |  90.3 % |  90.3 % |  93.5 % |  96.8 % |
| \supseteq                 |        31 |  74.2 % |  90.3 % | 100.0 % | 100.0 % | 100.0 % |
| \S                        |        30 |  40.0 % |  60.0 % |  66.7 % |  80.0 % |  83.3 % |
| \mathcal{N}               |        30 |  63.3 % |  93.3 % |  93.3 % |  93.3 % |  96.7 % |
| \dag                      |        29 |   6.9 % |  44.8 % |  44.8 % |  65.5 % |  69.0 % |
| \parallel                 |        29 |  24.1 % |  41.4 % |  62.1 % |  72.4 % |  79.3 % |
| \angle                    |        29 |  96.6 % |  96.6 % | 100.0 % | 100.0 % | 100.0 % |
| \ae                       |        28 |  64.3 % |  82.1 % |  82.1 % |  82.1 % |  89.3 % |
| \sqsubseteq               |        28 |  82.1 % |  96.4 % | 100.0 % | 100.0 % | 100.0 % |
| \theta                    |        28 |  14.3 % |  39.3 % |  64.3 % |  71.4 % |  78.6 % |
| \o                        |        28 |  14.3 % |  39.3 % |  42.9 % |  46.4 % |  64.3 % |
| \Uppi                     |        28 |  25.0 % |  46.4 % |  75.0 % |  75.0 % |  89.3 % |
| \mathcal{M}               |        27 |  55.6 % |  74.1 % |  81.5 % |  85.2 % |  85.2 % |
| \uparrow                  |        27 |  22.2 % |  44.4 % |  63.0 % |  88.9 % |  92.6 % |
| \top                      |        27 |  14.8 % |  33.3 % |  40.7 % |  66.7 % |  70.4 % |
| \mid                      |        27 |  11.1 % |  18.5 % |  25.9 % |  29.6 % |  29.6 % |
| \textdollaroldstyle       |        27 |  63.0 % |  81.5 % |  88.9 % |  92.6 % |  92.6 % |
| \epsilon                  |        27 |  33.3 % |  48.1 % |  55.6 % |  77.8 % |  81.5 % |
| \Bowtie                   |        26 |  50.0 % |  80.8 % |  84.6 % |  88.5 % |  88.5 % |
| \upvarepsilon             |        26 |  15.4 % |  30.8 % |  42.3 % |  69.2 % |  84.6 % |
| \mathcal{E}               |        26 |  30.8 % |  50.0 % |  65.4 % |  84.6 % |  92.3 % |
| \rightsquigarrow          |        26 |  61.5 % |  84.6 % |  88.5 % |  88.5 % |  88.5 % |
| \upmu                     |        26 |  30.8 % |  57.7 % |  69.2 % |  76.9 % |  76.9 % |
| \Yinyang                  |        26 |  46.2 % |  53.8 % |  57.7 % |  65.4 % |  69.2 % |
| \}                        |        25 |  36.0 % |  72.0 % |  88.0 % |  92.0 % |  92.0 % |
| \uptau                    |        25 |  28.0 % |  48.0 % |  64.0 % |  68.0 % |  76.0 % |
| \textsca                  |        25 |  80.0 % |  88.0 % |  92.0 % |  92.0 % |  92.0 % |
| \div                      |        25 |  28.0 % |  40.0 % |  44.0 % |  48.0 % |  48.0 % |
| \spadesuit                |        25 |  52.0 % |  64.0 % |  76.0 % |  76.0 % |  76.0 % |
| \clubsuit                 |        25 |  20.0 % |  52.0 % |  60.0 % |  72.0 % |  72.0 % |
| \star                     |        25 |  40.0 % |  60.0 % |  72.0 % |  72.0 % |  72.0 % |
| \textonehalf              |        25 |  84.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \_                        |        25 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathcal{F}               |        24 |  58.3 % |  83.3 % |  83.3 % |  83.3 % |  91.7 % |
| \upphi                    |        24 |  37.5 % |  58.3 % |  79.2 % |  95.8 % | 100.0 % |
| \mathscr{A}               |        24 |  62.5 % |  79.2 % |  83.3 % |  87.5 % |  87.5 % |
| \bigcap                   |        23 |  73.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nexists                  |        23 |  91.3 % |  91.3 % | 100.0 % | 100.0 % | 100.0 % |
| \Upomega                  |        23 |  26.1 % |  39.1 % |  56.5 % |  82.6 % |  91.3 % |
